0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:42 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:44 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:45 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:48 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:50 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:51 +0900] "GET /JSP/Chat.jsp HTTP/1.1" 200 2539
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:51 +0900] "GET /JSP/css/style.css HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:51 +0900] "GET /node_modules/socket.io/socket.io.js HTTP/1.1" 404 850
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:51 +0900] "GET /JSP/js/app.js HTTP/1.1" 404 828
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:51 +0900] "GET /JSP/js/chat.js HTTP/1.1" 404 829
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:52 +0900] "GET /JSP/login.jsp HTTP/1.1" 200 2388
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:12:53 +0900] "GET /JSP/evaluate.jsp HTTP/1.1" 200 11656
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:13:06 +0900] "GET /JSP/main.jsp HTTP/1.1" 200 3305
0:0:0:0:0:0:0:1 - - [09/Nov/2023:04:13:08 +0900] "GET /JSP/bbs.jsp HTTP/1.1" 200 2609
